station,date_r,monitor_read
Anand Vihar,2015-04-04 00:00:00,0.5520833333333334
Anand Vihar,2015-04-05 00:00:00,0.4166666666666667
Anand Vihar,2015-04-06 00:00:00,0.0
Anand Vihar,2015-04-07 00:00:00,0.0
Anand Vihar,2015-04-08 00:00:00,0.0
Anand Vihar,2015-04-09 00:00:00,0.4479166666666667
Anand Vihar,2015-04-10 00:00:00,0.625
Anand Vihar,2015-04-11 00:00:00,0.5625
Anand Vihar,2015-04-12 00:00:00,0.5625
Anand Vihar,2015-04-13 00:00:00,0.7395833333333334
Anand Vihar,2015-04-14 00:00:00,0.6770833333333334
Anand Vihar,2015-04-15 00:00:00,0.3020833333333333
Anand Vihar,2015-04-16 00:00:00,1.0
Anand Vihar,2015-04-17 00:00:00,0.8958333333333334
Anand Vihar,2015-04-18 00:00:00,0.7395833333333334
Anand Vihar,2015-04-19 00:00:00,0.65625
Anand Vihar,2015-04-20 00:00:00,0.90625
Anand Vihar,2015-04-21 00:00:00,0.9375
Anand Vihar,2015-04-22 00:00:00,0.7291666666666666
Anand Vihar,2015-04-23 00:00:00,0.7395833333333334
Anand Vihar,2015-04-24 00:00:00,0.9375
Anand Vihar,2015-04-25 00:00:00,0.8958333333333334
Anand Vihar,2015-04-26 00:00:00,0.3958333333333333
Anand Vihar,2015-04-27 00:00:00,0.9791666666666666
Anand Vihar,2015-04-28 00:00:00,0.9791666666666666
Anand Vihar,2015-04-29 00:00:00,0.9375
Anand Vihar,2015-04-30 00:00:00,0.6875
Anand Vihar,2015-05-01 00:00:00,0.5833333333333334
Anand Vihar,2015-05-02 00:00:00,0.9791666666666666
Anand Vihar,2015-05-03 00:00:00,0.8333333333333334
Anand Vihar,2015-05-04 00:00:00,0.8645833333333334
Anand Vihar,2015-05-05 00:00:00,0.9791666666666666
Anand Vihar,2015-05-06 00:00:00,1.0
Anand Vihar,2015-05-07 00:00:00,0.9791666666666666
Anand Vihar,2015-05-08 00:00:00,0.3020833333333333
Anand Vihar,2015-05-09 00:00:00,0.6666666666666666
Anand Vihar,2015-05-10 00:00:00,1.0
Anand Vihar,2015-05-11 00:00:00,0.9791666666666666
Anand Vihar,2015-05-12 00:00:00,0.5208333333333334
Anand Vihar,2015-05-13 00:00:00,0.9270833333333334
Anand Vihar,2015-05-14 00:00:00,0.8229166666666666
Anand Vihar,2015-05-15 00:00:00,0.9791666666666666
Anand Vihar,2015-05-16 00:00:00,0.9895833333333334
Anand Vihar,2015-05-17 00:00:00,1.0
Anand Vihar,2015-05-18 00:00:00,0.9583333333333334
Anand Vihar,2015-05-19 00:00:00,0.9791666666666666
Anand Vihar,2015-05-20 00:00:00,0.9166666666666666
Anand Vihar,2015-05-21 00:00:00,1.0
Anand Vihar,2015-05-22 00:00:00,1.0
Anand Vihar,2015-05-23 00:00:00,0.8645833333333334
Anand Vihar,2015-05-24 00:00:00,0.6041666666666666
Anand Vihar,2015-05-25 00:00:00,0.8854166666666666
Anand Vihar,2015-05-26 00:00:00,0.7083333333333334
Anand Vihar,2015-05-27 00:00:00,0.9166666666666666
Anand Vihar,2015-05-28 00:00:00,0.9791666666666666
Anand Vihar,2015-05-29 00:00:00,0.875
Anand Vihar,2015-05-30 00:00:00,0.53125
Anand Vihar,2015-05-31 00:00:00,0.0
Anand Vihar,2015-06-01 00:00:00,0.59375
Anand Vihar,2015-06-02 00:00:00,1.0
Anand Vihar,2015-06-03 00:00:00,0.9791666666666666
Anand Vihar,2015-06-04 00:00:00,0.6354166666666666
Anand Vihar,2015-06-05 00:00:00,0.0
Anand Vihar,2015-06-06 00:00:00,0.0
